nSeq;I1; I2; O1; O2;A3
3;0;0;0;0;270
4;0;0;0;0;270
5;0;0;0;0;270
6;0;0;0;0;270
7;0;0;0;0;270
8;0;0;0;0;270
9;0;0;0;0;270
10;0;0;0;0;270
11;0;0;0;0;270
12;0;0;0;0;270
13;0;0;0;0;270
14;0;0;0;0;270
15;0;0;0;0;270
0;0;0;0;0;270
1;0;0;0;0;270
2;0;0;0;0;270
3;0;0;0;0;270
4;0;0;0;0;270
5;0;0;0;0;270
6;0;0;0;0;270
7;0;0;0;0;270
8;0;0;0;0;270
9;0;0;0;0;270
10;0;0;0;0;270
11;0;0;0;0;270
12;0;0;0;0;270
13;0;0;0;0;270
14;0;0;0;0;270
15;0;0;0;0;270
0;0;0;0;0;270
1;0;0;0;0;270
2;0;0;0;0;270
3;0;0;0;0;270
4;0;0;0;0;270
5;0;0;0;0;270
6;0;0;0;0;271
7;0;0;0;0;270
8;0;0;0;0;271
9;0;0;0;0;270
10;0;0;0;0;270
11;0;0;0;0;271
12;0;0;0;0;271
13;0;0;0;0;270
14;0;0;0;0;270
15;0;0;0;0;271
0;0;0;0;0;271
1;0;0;0;0;271
2;0;0;0;0;271
3;0;0;0;0;271
4;0;0;0;0;271
5;0;0;0;0;271
6;0;0;0;0;271
7;0;0;0;0;271
8;0;0;0;0;271
9;0;0;0;0;271
10;0;0;0;0;271
11;0;0;0;0;271
12;0;0;0;0;271
13;0;0;0;0;271
14;0;0;0;0;271
15;0;0;0;0;271
0;0;0;0;0;271
1;0;0;0;0;271
2;0;0;0;0;271
3;0;0;0;0;271
4;0;0;0;0;271
5;0;0;0;0;271
6;0;0;0;0;271
7;0;0;0;0;271
8;0;0;0;0;271
9;0;0;0;0;271
10;0;0;0;0;271
11;0;0;0;0;271
12;0;0;0;0;271
13;0;0;0;0;271
14;0;0;0;0;271
15;0;0;0;0;271
0;0;0;0;0;271
1;0;0;0;0;271
2;0;0;0;0;271
3;0;0;0;0;271
4;0;0;0;0;271
5;0;0;0;0;271
6;0;0;0;0;271
7;0;0;0;0;271
8;0;0;0;0;271
9;0;0;0;0;271
10;0;0;0;0;271
11;0;0;0;0;271
12;0;0;0;0;271
13;0;0;0;0;271
14;0;0;0;0;272
15;0;0;0;0;271
0;0;0;0;0;271
1;0;0;0;0;271
2;0;0;0;0;271
3;0;0;0;0;271
4;0;0;0;0;272
5;0;0;0;0;271
6;0;0;0;0;271
7;0;0;0;0;271
8;0;0;0;0;272
9;0;0;0;0;271
10;0;0;0;0;271
11;0;0;0;0;271
12;0;0;0;0;272
13;0;0;0;0;272
14;0;0;0;0;271
15;0;0;0;0;272
0;0;0;0;0;272
1;0;0;0;0;272
2;0;0;0;0;272
3;0;0;0;0;272
4;0;0;0;0;272
5;0;0;0;0;272
6;0;0;0;0;272
7;0;0;0;0;272
8;0;0;0;0;272
9;0;0;0;0;272
10;0;0;0;0;272
11;0;0;0;0;272
12;0;0;0;0;272
13;0;0;0;0;272
14;0;0;0;0;272
15;0;0;0;0;272
0;0;0;0;0;272
1;0;0;0;0;272
2;0;0;0;0;272
3;0;0;0;0;272
4;0;0;0;0;272
5;0;0;0;0;272
6;0;0;0;0;272
7;0;0;0;0;272
8;0;0;0;0;272
9;0;0;0;0;272
10;0;0;0;0;272
11;0;0;0;0;272
12;0;0;0;0;272
13;0;0;0;0;272
14;0;0;0;0;272
15;0;0;0;0;272
0;0;0;0;0;272
1;0;0;0;0;272
2;0;0;0;0;272
3;0;0;0;0;272
4;0;0;0;0;272
5;0;0;0;0;272
6;0;0;0;0;272
7;0;0;0;0;272
8;0;0;0;0;273
9;0;0;0;0;272
10;0;0;0;0;273
11;0;0;0;0;273
12;0;0;0;0;273
13;0;0;0;0;273
14;0;0;0;0;273
15;0;0;0;0;273
0;0;0;0;0;273
1;0;0;0;0;273
